variable_id,mz,rt,bl20210902_10,bl20210902_11,bl20210902_13,bl20210902_14,bl20210902_26,bl20210902_27,bl20210902_29,bl20210902_30,bl20210902_31,bl20210902_32,bl20210902_33,bl20210902_34,bl20210902_35,bl20210902_36,bl20210902_4,bl20210902_5,bl20210902_6,bl20210902_7,bl20210902_8,bl20210902_9,bl20210902_15,bl20210902_16,bl20210902_17,bl20210902_18,bl20210902_19,bl20210902_20,bl20210902_22,bl20210902_23,bl20210902_24,bl20210902_25,bl20210902_12,bl20210902_21,bl20210902_28,bl20210902_3,bl20210902_37,bl20210902_38
M797T19_POS,797.2858822390248,18.97793960571289,7503.02969992022,6050.461502363176,5000.847622662407,5716.320962215923,NA,NA,NA,8694.040700795947,NA,7154.711525328839,5890.803304152353,5526.101822336893,6866.182627830695,5611.4726167906865,NA,NA,NA,NA,NA,NA,3083.907648664309,NA,NA,NA,3841.2820619337604,8259.2603444916,NA,8596.652010354615,8013.427422925331,7777.92565947804,NA,NA,NA,NA,NA,6282.7615749824345
M803T18_POS,803.2960295251554,17.706787109375,147142.35064461408,137476.4663272356,108541.36556646768,104977.11235271349,18595.282025604378,NA,NA,119029.65024794947,10327.070360251893,86087.27071433657,73419.3069117444,72611.82134033684,79818.60166852178,67654.80299585527,NA,27790.09093409008,27844.15130140633,NA,18277.036222655497,NA,21525.203941888536,24787.78868782111,NA,20460.040285154286,22325.079724082923,98699.96600809656,115334.67470166934,113251.08347367324,98908.324241584,97337.01104104126,111757.55214791925,NA,11229.505945731995,NA,92258.33783886068,90228.4113834157
M804T498_POS,803.537283077203,497.7230224609375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2215.329989277221,4985.179507354997,NA,NA,NA,2227.664184564449
M804T180_1_POS,803.8470823774592,180.01658630371094,NA,35113.01754003127,34269.8243845217,33914.238224130946,NA,NA,NA,41974.87544248174,NA,25378.032653239996,21276.19770145653,NA,28562.28051519883,NA,NA,3024.7096477927703,NA,2440.017459867265,NA,45478.344330806045,23779.640421638695,34257.8267524743,3978.9521280757795,22876.690614169434,NA,12001.480555518287,61088.404319988105,50909.15399809275,51090.131188708256,NA,35702.76668533644,49081.099481974255,NA,26424.118955561862,38222.241795102585,37137.8345641883
M804T18_POS,804.2968893224784,17.919658660888672,29798.7203783177,27957.0627665468,21801.314312746938,19674.13621617311,NA,NA,NA,24040.59276208957,NA,17596.737157267158,14447.740575689628,14635.120967452374,16409.16525657562,13988.282916066346,NA,NA,NA,NA,NA,NA,4943.013448118249,5026.8923985517995,NA,4396.599737381877,NA,20781.05171280386,22556.143952636885,23014.363739486253,20113.41779233827,20064.864844594544,22951.23933674961,NA,NA,NA,18856.4518604962,18074.5305935843
M804T180_2_POS,804.3497037780174,180.00053215026938,NA,25336.938158565037,25386.261692166998,27773.15888229225,NA,NA,NA,28938.06550544376,NA,21336.90017941849,16163.74201624812,NA,21627.789579195243,NA,NA,NA,NA,2306.998334578077,NA,34729.44164956859,NA,24981.244504245016,NA,20166.913747622835,NA,10010.906448681058,45457.62490546229,39386.857236061405,40632.030353987684,NA,28607.329931308373,36417.82003632525,NA,21493.53583473897,29970.045994007076,29932.213565002934
M805T180_1_POS,804.8498389124675,179.9650650024414,NA,11277.185872810238,11056.384979242011,10593.463058465837,NA,NA,NA,12812.230378343034,NA,8294.774001825666,5524.099566842824,NA,8010.147857661598,NA,NA,NA,NA,NA,NA,13218.043723407169,7501.235628570005,10011.019744847212,NA,7735.137044944442,7104.584777290685,NA,15549.642271549868,15688.113581273798,14105.133285717216,NA,11159.196867138739,13591.131353343104,NA,7624.727582957123,11347.353339194557,11414.022153600663
M805T18_POS,805.2952189838054,17.929033279418945,15512.649085603438,14955.448123787852,11803.645875613787,10290.933434463981,NA,NA,NA,12101.20641850904,NA,9549.561962497495,7737.517473904718,7682.616645319297,NA,7091.573583846929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11879.603150794717,11928.783746990684,11734.158916338993,10825.202595589542,9902.970670887596,11977.430004283944,NA,NA,NA,9805.821208889942,NA
M805T180_2_POS,805.3503952884744,180.0251922607422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2791.043529483433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3358.2503502226705,NA,5594.086325155394,5118.022978293726,4538.06848527984,NA,3330.3857584510906,4164.602120111116,NA,2848.2416689250254,NA,NA
M807T629_POS,806.5706959398553,628.677978515625,NA,45314.611753188175,8286.143019837751,NA,NA,NA,NA,NA,56165.86359151744,NA,NA,28286.762617574204,NA,13997.3615265033,34985.226860148294,NA,13842.13805015928,NA,NA,NA,7018.245700656993,1523461.8684576545,NA,NA,NA,NA,24296.959471577047,20701.900634781967,14925.960681126964,11405.70225524267,21388.160425797003,39749.453148392524,NA,NA,5771.528507996003,20556.35020551296
