variable_id,mz,rt,X20210902_neg04,X20210902_neg05,X20210902_neg06,X20210902_neg07,X20210902_neg08,X20210902_neg09,X20210902_neg10,X20210902_neg11,X20210902_neg13,X20210902_neg14,X20210902_neg26,X20210902_neg27,X20210902_neg28,X20210902_neg29,X20210902_neg31,X20210902_neg32,X20210902_neg33,X20210902_neg34,X20210902_neg35,X20210902_neg36,X20210902_neg15,X20210902_neg16,X20210902_neg17,X20210902_neg18,X20210902_neg19,X20210902_neg20,X20210902_neg22,X20210902_neg23,X20210902_neg24,X20210902_neg25,X20210902_neg03,X20210902_neg12,X20210902_neg21,X20210902_neg30,X20210902_neg37,X20210902_neg38
M700T227_NEG,700.2210097911221,227.32100486753998,NA,NA,NA,NA,NA,4497.900574792191,8356.728481607666,NA,5658.971402777171,4435.554602639065,NA,NA,NA,NA,NA,46839.93449180438,9133.96196537076,51600.26095942075,37382.336945885225,51410.565697827624,3882.8365325645987,4454.117931203359,NA,5726.0346311037665,5904.437565796677,5415.98050676531,5021.866493209512,7889.522136830048,7761.449563199455,13622.673742420684,41098.69556475507,22606.527881052527,27282.82933350267,28651.704406508965,28398.120736361954,27329.45836993477
M700T114_NEG,700.2894374108029,114.4779968262,NA,NA,NA,NA,NA,48908.39708831673,55350.341705744584,57572.963905437,45804.43914710258,42304.683021776655,NA,NA,NA,NA,NA,39625.91275632484,39537.60891902097,33829.47871712467,57084.38600000866,37137.84201138793,39499.452481347646,41629.651348453575,NA,42829.506036891275,40974.2266479232,39517.91829483312,48442.209529726184,50630.46837982673,43965.744158365094,39462.80996043996,79149.94856397127,56273.68680168124,55137.56385460707,61021.79424690108,55951.87406464841,54846.59541278826
M700T366_NEG,700.45831298828125,365.70199012758,NA,1688.0120925995489,NA,NA,NA,23000.044737269476,36962.41057625483,38126.712265836504,26028.223033036975,18504.596209995703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15374.711373158118,17859.01546302748,12669.34627103313,15865.843368523962,15488.021470769585,15387.9851784756
M701T23_NEG,700.5642341391975,22.77099967002,19905.293892891743,17553.994786463514,17841.410744160596,16941.37674447179,15797.084309912863,14700.740003553748,13698.290786268239,19044.15224561112,21916.989390212384,18514.593796684054,11358.77513050823,15643.247251956367,8993.4107888643,12741.785167873033,11015.3231576388,15424.513365616735,14056.191920487916,20658.8103788505,NA,15783.826283339284,4087.8282494433133,5344.843559860192,4951.502816676178,NA,NA,18378.25300905021,24678.962689880624,22800.918051874763,18327.31673168784,19479.423666077808,28538.03509865519,NA,18124.746686684255,18304.997805028164,19390.25108316695,NA
M701T39_NEG,701.1662897581588,38.562998771640004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2866.948222632214,1723.6968489987241,2261.2862396170012,NA,NA,NA
M701T183_NEG,701.1705485701779,182.6040029526,NA,NA,NA,NA,NA,40367.1586379437,36014.003849044275,35050.3834355409,38849.524065490914,31423.07793645455,NA,NA,NA,NA,NA,25738.196804430543,29265.884034423874,20769.24174497937,42664.508155147516,20077.785397798463,9073.979379865606,4217.986633323812,NA,NA,9356.105422410817,20540.111756529564,18653.113442687663,21919.392854994425,21850.60583310486,31705.372490233694,144848.85976235283,87502.73617703754,81784.92840976772,94774.10699233685,72284.80425844909,67801.10569922389
M701T228_NEG,701.2183276158471,227.63500213626,NA,NA,NA,NA,NA,NA,NA,NA,3126.83020272246,NA,NA,NA,NA,NA,NA,5573.095931234407,NA,16675.13230905111,13446.900999050822,17558.69469483673,NA,NA,NA,2022.4361779295566,2112.241607218446,NA,NA,3450.5369186589774,NA,5049.1306736512515,12583.181685810368,NA,10143.144420952227,NA,7065.890665144754,NA
M701T114_NEG,701.2915254829865,114.4779968262,NA,NA,NA,NA,NA,10863.547137160644,11307.688865626484,12594.84136697953,10738.617149149637,NA,NA,NA,NA,NA,NA,NA,NA,7375.199799550793,12448.986387665653,7138.155028451141,7789.738574900232,9195.966176572803,NA,9699.24604894458,9125.7690187886,8825.519419411845,11214.385467749085,10413.241927383766,10203.355425700993,8854.582217565983,16132.841729133423,11569.158751342335,12568.767642993134,NA,NA,NA
M701T366_NEG,701.4629994666043,365.70148944855,NA,NA,NA,NA,NA,7404.914814816211,12719.547166840766,15724.975066319688,10029.321267869442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6994.836425787043,NA,NA,5828.766557697473,4962.60844681273,5221.035837090454
M702T183_NEG,702.1726540671019,182.6040029526,NA,NA,NA,NA,NA,9871.191229041233,10192.754632565864,7206.8831455550535,10128.815543768642,3879.4184098771116,NA,NA,NA,NA,NA,7171.277483510714,7713.285573285611,NA,11710.454123667738,7005.6206281376235,5767.321940297438,NA,NA,31953.354286377835,27564.592584226426,3555.4346332305886,4627.144492595125,7132.448044448546,4932.62407062657,6353.908485165668,34093.14865930063,22384.817525153412,18971.89091992378,20876.920832536798,17582.52964781755,16420.641893089138
